,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
179,1309,Improvement,Resolved,Fixed,ambari-web   ,Major,ARUN KUMAR KANDREGULA,2013/01/30 23:33:26 +0100,2013/01/30 23:33:26 +0100,ARUN KUMAR KANDREGULA,2013/01/31 01:55:39 +0100,0.098761574,0.098761574,Remove all text from Apps views  controllers  templates to messages.js   ,   ,1.2.0,1.2.2,0,2,1,1,4,2,0,0,0,0,0,0,0,0,
180,1311,Improvement,Resolved,Fixed,ambari-web   ,Major,ARUN KUMAR KANDREGULA,2013/01/30 23:46:56 +0100,2013/01/30 23:46:56 +0100,ARUN KUMAR KANDREGULA,2013/01/31 01:31:50 +0100,0.072847222,0.072847222,Host health indicator should have a tooltip showing few details (refactoring)   ,   ,1.2.0,1.2.1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
185,1337,Improvement,Resolved,Fixed,ambari-web   ,Minor,Yusaku Sako,2013/02/02 00:34:38 +0100,2013/02/02 00:34:38 +0100,Yusaku Sako,2013/02/02 03:28:36 +0100,0.120810185,0.120810185,Refactor Job Browser filter   ,   ,1.2.0,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
188,1348,Improvement,Resolved,Fixed,ambari-web   ,Minor,Yusaku Sako,2013/02/06 01:25:22 +0100,2013/02/06 01:25:22 +0100,Yusaku Sako,2013/02/06 01:55:57 +0100,0.021238426,0.021238426,Externalize strings to messages.js   ,Externalize string resources to messages.js.   ,1.2.1,1.2.2,0,2,5,1,2,2,1,0,0,0,0,0,0,0,
190,1354,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/02/06 20:43:10 +0100,2013/02/06 20:43:10 +0100,Jaimin D Jetly,2013/02/06 23:46:19 +0100,0.1271875,0.1271875,'No alerts' badge on the Host Detail page should be green  not red   ,   ,1.2.1,1.2.2,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
192,1360,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/02/07 19:58:06 +0100,2013/02/07 19:58:06 +0100,Jaimin D Jetly,2013/02/07 22:05:29 +0100,0.088460648,0.088460648,Mouse cursor hover behavior is strange on Job Browser   ,When hovering the mouse cursor around Show All  Filtered  the mouse cursor changes to the 'hand' icon as expected. To the right  the cursor turns into a hand even when hovering over areas where there's no link. Hovering over 'Clear filters'  the cursor does not turn into the 'hand'.   ,1.2.1,1.2.2,0,2,49,1,2,2,0,0,0,0,0,0,0,0,
196,1441,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/02/18 06:09:01 +0100,2013/02/18 06:11:13 +0100,Yusaku Sako,2013/02/20 22:55:03 +0100,2.698634259,2.697106481,Validation for username used in service configs is broken   ,   ,1.2.2,1.2.2,0,2,1,1,2,2,0,0,0,1,0,0,0,0,
197,1449,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/02/20 01:53:48 +0100,2013/02/20 01:53:48 +0100,Jaimin D Jetly,2013/02/20 03:05:16 +0100,0.04962963,0.04962963,Failure popup shown for reconfiguring HDFS when MapReduce is not installed   ,   ,1.2.1,1.2.2,0,2,1,1,2,2,0,0,0,0,0,0,1,3,CHANGES.txt;ambari-web/app/controllers/main/service/info/configs.js;ambari-web/app/messages.js;
198,1450,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/02/20 04:03:24 +0100,2013/02/20 04:03:24 +0100,Yusaku Sako,2013/02/20 23:26:21 +0100,0.807604167,0.807604167,Remove hard-coded stack version   ,   ,1.2.2,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
199,1456,Bug,Resolved,Fixed,ambari-web   ,Critical,Yusaku Sako,2013/02/20 05:51:58 +0100,2013/02/20 05:51:58 +0100,Yusaku Sako,2013/02/20 22:49:13 +0100,0.706423611,0.706423611,Cannot proceed after bootstrapping in some cases due to a run-time error while running host checks   ,   ,1.2.2,1.2.2,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
204,1473,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/02/22 04:40:20 +0100,2013/02/22 04:40:20 +0100,Yusaku Sako,2013/02/22 09:14:14 +0100,0.190208333,0.190208333,Further optimization of querying host information from the server   ,Further work on optimizing query for getting host information on top of BUG-1460.   ,1.2.2,1.2.2,0,2,13,1,2,2,0,0,0,0,0,0,0,0,
212,1505,Improvement,Resolved,Fixed,ambari-web   ,Major,Xi Wang,2013/02/26 22:43:13 +0100,2013/02/26 22:43:13 +0100,Xi Wang,2013/02/27 00:23:58 +0100,0.06996527799999999,0.06996527799999999,Hosts page: add filtering by host status   ,Show the host status filter at the top of the Hosts table  showing the status and the number of hosts in that status.   ,1.2.3,1.2.3,0,2,23,1,2,1,0,0,0,0,0,0,0,0,
214,1520,Bug,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2013/02/28 00:01:24 +0100,2013/02/28 00:01:24 +0100,Srimanth Gunturi,2013/02/28 21:53:05 +0100,0.910891204,0.910891204,Alerts take around 20-30 seconds to show up everytime you refresh the dashboard.   ,Alerts take around 20-30 seconds to show up everytime you refresh the dashboard.   ,1.2.2,1.2.2,0,2,13,1,2,1,0,0,0,0,1,0,0,0,
215,1536,Improvement,Resolved,Fixed,ambari-web   ,Major,Xi Wang,2013/03/01 19:53:06 +0100,2013/03/01 19:53:06 +0100,Xi Wang,2013/03/01 23:32:42 +0100,0.1525,0.1525,Hosts page layout fixes   ,1.Use Bootstrap-style tooltip for the hover tooltip on the host status dots as well as the disk usage bars. The current tooltip does not show up unless you rest your mouse cursor for more than a second - users will simply assume there's no tooltip hover when quickly moving the mouse cursor over them.2.We can kill some space between the status dots and the hostnames in the table as well.3.Also  there is too much margin at the top compared to the rest of the pages.   ,1.2.3,1.2.3,0,2,85,1,2,1,0,0,0,0,0,0,1,2,CHANGES.txt;ambari-web/app/styles/application.less;
217,1559,Bug,Resolved,Fixed,ambari-server   ,Major,Steve Ratay,2013/03/06 17:04:08 +0100,2013/03/07 21:08:22 +0100,Tom Beerbower,2013/03/20 22:53:58 +0100,14.24293981,13.07333333,Jobs failed count always returns 0 in the jobtracker API metrics   ,See the attachments  but after running both successful and failed MapReduce jobs  the jobs submitted count includes all jobs  the jobs successful appears correct  but the jobs failed count is still 0.   ,1.2.2,1.2.2,0,4,32,1,4,3,0,0,0,0,0,0,0,0,
225,1645,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/03/15 03:59:08 +0100,2013/03/15 03:59:08 +0100,Yusaku Sako,2013/03/23 05:30:08 +0100,8.063194444,8.063194444,Undo should not be allowed on component hosts   ,   ,1.2.3,1.2.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
233,1757,Bug,Resolved,Fixed,   ,Major,Sumit Mohanty,2013/04/01 00:49:06 +0100,2013/04/01 00:49:06 +0100,Sumit Mohanty,2013/04/01 18:51:04 +0100,0.751365741,0.751365741,Add support for Stack 1.2.2 to Ambari   ,Add support for Stack 1.2.2 to Ambari.   ,1.2.2,1.2.2,0,3,7,1,2,2,1,0,0,0,0,0,0,0,
239,1816,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/04/05 18:33:02 +0100,2013/04/05 18:33:02 +0100,Jaimin D Jetly,2013/04/05 18:56:27 +0100,0.016261573999999997,0.016261573999999997,Security wizard: Add missing secure configs to Hbase service and make 'zookeeper' as default primary name for zookeeper principal.   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,1,0,0,1,0,0,0,0,
241,1837,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/04/08 18:49:42 +0100,2013/04/08 18:49:42 +0100,Jaimin D Jetly,2013/04/08 21:33:15 +0100,0.113576389,0.113576389,Few core-site properties vanished after seemingly benign reconfiguration.   ,UI metadata properties are not being reconfigured and retained on saving services.   ,1.2.3,1.2.3,0,2,12,1,2,2,1,0,0,0,0,0,0,0,
245,1849,Bug,Resolved,Fixed,ambari-web   ,Minor,Yusaku Sako,2013/04/09 20:00:45 +0100,2013/04/09 20:00:45 +0100,Yusaku Sako,2013/04/09 22:02:39 +0100,0.08465277800000001,0.08465277800000001,Cosmetic problems on HBase Dashboard   ,   ,1.2.3,1.2.3,0,2,1,1,2,1,0,0,0,0,0,0,0,0,
247,1859,Bug,Resolved,Fixed,   ,Major,Sumit Mohanty,2013/04/09 21:09:38 +0100,2013/04/09 21:09:38 +0100,Sumit Mohanty,2013/04/09 21:15:31 +0100,0.004085648,0.004085648,Cannot load Nagios Alerts due to 400 Bad Request   ,Given the API call: http://dev.hortonworks.com:8080/api/v1/clusters/test403_2/host_components?HostRoles/component_name=NAGIOS_SERVER&amp;fields=HostRoles/nagios_alertsThe feedback is:{ 'status' : 400  'message' : 'The properties [HostRoles/nagios_alerts] specified in the request or predicate are not supported for the resource type HostComponent.' }   ,1.2.3,1.2.3,0,2,33,1,1,1,1,0,0,1,0,0,0,0,
250,1872,Bug,Resolved,Fixed,ambari-web   ,Major,Jaimin D Jetly,2013/04/11 02:29:20 +0100,2013/04/11 02:29:20 +0100,Jaimin D Jetly,2013/04/11 02:34:03 +0100,0.0032754629999999997,0.0032754629999999997,Ambari FE is not setting proper value for fs.checkpoint.edits.dir   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,1,0,0,0,0,0,0,0,
251,1873,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/04/11 05:01:47 +0100,2013/04/11 05:01:47 +0100,Yusaku Sako,2013/04/11 19:18:18 +0100,0.594803241,0.594803241,HUE pid and log dir labels are flip flopped   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
265,1933,Bug,Resolved,Fixed,   ,Major,Sumit Mohanty,2013/04/15 17:51:25 +0100,2013/04/15 17:51:25 +0100,Sumit Mohanty,2013/04/15 18:18:45 +0100,0.018981481,0.018981481,Test failure : testCascadeDeleteStages   ,mvn clean install produces the following failure ...testCascadeDeleteStages(org.apache.ambari.server.actionmanager.TestActionManager):Exception [EclipseLink-4002] (Eclipse Persistence Services -2.4.0.v20120608-r11652):org.eclipse.persistence.exceptions.DatabaseException(..)   ,1.2.3,1.2.3,0,2,20,1,1,1,0,0,0,0,0,0,0,0,
266,1934,Bug,Resolved,Fixed,   ,Major,Sumit Mohanty,2013/04/15 17:55:34 +0100,2013/04/15 17:55:34 +0100,Sumit Mohanty,2013/04/15 18:20:34 +0100,0.017361111000000002,0.017361111000000002,Security vulnerability with Ganglia and Nagios   ,Ganglia Issue : Unspecified vulnerability in Ganglia Web before 3.5.1 allows remote attackers to execute arbitrary PHP code via unknown attack vectors. http://ganglia.info/?p=549 Ganglia Web 3.5.1 Release ?ESecurity Advisory There is a security issue in Ganglia Web going back to at least 3.1.7 which can lead to arbitrary script being executed with web user privileges possibly leading to a machine compromise. Issue has been fixed in the latest version of Ganglia Web which can be downloaded from https://sourceforge.net/projects/ganglia/files/ganglia-web/3.5.1/ Solution: Need to get upgraded rpms with the Ganglia Web version 3.5.7 which has the fix for this vulnerability.Nagios: Multiple stack-based buffer overflows in the get_history function in history.cgi in Nagios Core before 3.4.4  and Icinga 1.6.x before 1.6.2  1.7.x before 1.7.4  and 1.8.x before 1.8.4  might allow remote attackers to execute arbitrary code via a long (1) host_name variable (host parameter) or (2) svc_description variable. http://www.nagios.org/projects/nagioscore/history/core-3x http://lists.grok.org.uk/pipermail/full-disclosure/2012-December/089125.html Vulnerable software and versions - nagios:nagios:3.4.3 and previous versions   ,1.2.3,1.2.3,0,2,169,1,1,1,1,0,0,1,0,0,0,0,
269,1948,Bug,Resolved,Fixed,ambari-agent   ,Major,Siddharth Wagle,2013/04/16 22:40:09 +0100,2013/04/16 22:40:09 +0100,Siddharth Wagle,2013/04/16 23:35:26 +0100,0.038391204,0.038391204,System logs are not present on tasktracker   ,Run a mapreduce job.Find the attempt id and look for system logs on tasktracker.http://ec2-54-224-138-78.compute-1.amazonaws.com:50060/tasklog?attemptid=attempt_201304121816_0003_m_000000_0Actual result:The syslogs are not present here.Only stdout and stderr logs are present.   ,1.2.3,1.2.3,0,2,29,1,1,1,1,0,0,0,0,0,0,0,
274,1978,Bug,Resolved,Fixed,ambari-agent   ,Major,Siddharth Wagle,2013/04/18 18:14:47 +0100,2013/04/18 18:14:47 +0100,Siddharth Wagle,2013/04/20 00:08:04 +0100,1.245335648,1.245335648,Deploying HDP-1.3.0 results in several alerts - is it related to hard-coded port   ,TaskTracker  RegionServer  HBase master process down because check_tcp failure.Looks like the hadoop-services.cfg.erb has:check_command check_tcp!&lt;%=scope.function_hdp_template_var('jtnode_port')%&gt;!-w 1 -c 1and looks like the ports are not getting replaced and end up being empty.   ,1.2.3,1.2.3,0,3,30,1,3,3,0,0,0,0,0,0,0,0,
276,1988,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/04/18 23:41:53 +0100,2013/04/18 23:41:53 +0100,Yusaku Sako,2013/04/19 00:41:10 +0100,0.041168981,0.041168981,Hostname pattern expression is broken   ,dev[01-03].domain.com expanded to:dev1.domain.comdev2.domain.comdev3.domain.comShould be:dev01.domain.comdev02.domain.comdev03.domain.com   ,1.2.3,1.2.3,0,2,4,1,2,2,0,0,0,0,0,0,0,0,
278,1998,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/04/23 22:41:35 +0100,2013/04/23 22:41:35 +0100,Yusaku Sako,2013/04/24 00:11:31 +0100,0.062453704000000006,0.062453704000000006,Action buttons on host details page not formatted properly on Firefox   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
280,2001,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/04/23 22:42:40 +0100,2013/04/23 22:42:40 +0100,Yusaku Sako,2013/04/24 00:14:40 +0100,0.063888889,0.063888889,Filtering on Jobs table does not work under certain situations   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,1,0,0,0,0,0,0,0,
296,2061,Improvement,Resolved,Fixed,ambari-web   ,Minor,Yusaku Sako,2013/05/01 02:48:52 +0100,2013/05/01 02:48:52 +0100,Yusaku Sako,2013/05/01 22:26:48 +0100,0.8180092590000001,0.8180092590000001,HBase Heatmaps: clean up labels and units   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
298,2068,Bug,Resolved,Fixed,ambari-web   ,Minor,Yusaku Sako,2013/05/02 00:03:10 +0100,2013/05/02 00:03:10 +0100,Yusaku Sako,2013/05/03 00:20:37 +0100,1.012118056,1.012118056,'Preparing to install ' message needs spacing   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
300,2075,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/05/04 00:07:41 +0100,2013/05/04 00:07:41 +0100,Yusaku Sako,2013/05/06 18:55:22 +0100,2.7831134260000003,2.7831134260000003,Admin role can't be assigned to LDAP user   ,   ,1.2.3,1.2.3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
303,2089,Bug,Resolved,Fixed,   ,Critical,Xi Wang,2013/05/07 19:08:10 +0100,2013/05/07 19:08:10 +0100,Xi Wang,2013/05/10 00:02:43 +0100,2.204548611,2.204548611,Post Ambari upgrade  Hive and Oozie fail to start after reconfigure   ,   ,1.2.3,1.2.3,0,2,1,1,2,1,0,0,0,0,0,0,0,0,
305,2101,Bug,Resolved,Fixed,ambari-agent   ,Major,Siddharth Wagle,2013/05/10 19:18:12 +0100,2013/05/10 19:18:12 +0100,Siddharth Wagle,2013/05/10 19:35:54 +0100,0.012291667,0.012291667,Hive service check (still) failing with file permissions   ,Stack upgrade testing is still showing this to be an issue.warning: Unrecognised escape sequence '/;' in file /var/lib/ambari-agent/puppet/modules/hdp-hive/manifests/hive/service_check.pp at line 32warning: Dynamic lookup of $configuration is deprecated. Support will be removed in Puppet 2.8. Use a fully-qualified variable name (e.g.  $classname::variable) or parameterized classes.notice: /Stage[1]/Hdp::Snappy::Package/Hdp::Snappy::Package::Ln[32]/Hdp::Exec[hdp::snappy::package::ln 32]/Exec[hdp::snappy::package::ln 32]/returns: executed successfullynotice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: ls: cannot access /usr/share/java/*oracle*: No such file or directorynotice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: 13/05/09 15:01:52 WARN conf.HiveConf: DEPRECATED: Configuration property hive.metastore.local no longer has any effect. Make sure to provide a valid value for hive.metastore.uris if you are connecting to a remote metastore.notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: log4j:ERROR setFile(null true) call failed.notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: java.io.FileNotFoundException: /tmp/ambari_qa/hive.log (Permission denied)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at java.io.FileOutputStream.openAppend(Native Method)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at java.io.FileOutputStream.&lt;init&gt;(FileOutputStream.java:192)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at java.io.FileOutputStream.&lt;init&gt;(FileOutputStream.java:116)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.FileAppender.setFile(FileAppender.java:290)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.FileAppender.activateOptions(FileAppender.java:164)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.DailyRollingFileAppender.activateOptions(DailyRollingFileAppender.java:216)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.config.PropertySetter.activate(PropertySetter.java:257)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:133)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:97)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.parseAppender(PropertyConfigurator.java:689)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.parseCategory(PropertyConfigurator.java:647)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.configureRootCategory(PropertyConfigurator.java:544)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:440)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:476)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.log4j.PropertyConfigurator.configure(PropertyConfigurator.java:354)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hadoop.hive.common.LogUtils.initHiveLog4jDefault(LogUtils.java:124)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hadoop.hive.common.LogUtils.initHiveLog4jCommon(LogUtils.java:77)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hadoop.hive.common.LogUtils.initHiveLog4j(LogUtils.java:58)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hcatalog.cli.HCatCli.main(HCatCli.java:61)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at java.lang.reflect.Method.invoke(Method.java:597)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hadoop.util.RunJar.main(RunJar.java:160)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: log4j:ERROR Either File or DatePattern options are not set for appender [DRFA].notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: Exception in thread 'main' java.lang.RuntimeException: java.io.IOException: Permission deniednotice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hadoop.hive.ql.session.SessionState.start(SessionState.java:272)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at org.apache.hcatalog.cli.HCatCli.main(HCatCli.java:79)notice: /Stage[2]/Hdp-hcat::Hcat::Service_check/Exec[hcatSmoke.sh prepare]/returns: at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)   ,1.2.3,1.2.3,0,2,245,1,1,1,0,0,0,1,0,0,0,0,
317,2152,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/05/17 00:41:25 +0100,2013/05/17 00:41:25 +0100,Yusaku Sako,2013/05/17 01:29:01 +0100,0.033055556,0.033055556,Sometimes stale host / host component indicators are shown   ,   ,1.2.3,1.2.4,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
319,2161,Bug,Resolved,Fixed,ambari-agent   ,Major,Jaimin D Jetly,2013/05/17 21:55:35 +0100,2013/05/17 21:55:35 +0100,Jaimin D Jetly,2013/05/18 01:16:38 +0100,0.139618056,0.139618056,Datanode Start fails in secure cluster.   ,   ,1.2.3,1.2.5,0,2,1,1,2,2,0,0,0,1,0,0,0,0,
324,2187,Bug,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2013/05/22 22:58:29 +0100,2013/05/22 22:58:29 +0100,Srimanth Gunturi,2013/05/22 23:36:30 +0100,0.026400463,0.026400463,Hadoop2 Monitoring: Jobs page should be hidden when HDP 2.0.x stack is installed   ,When a HDP 2.0.x stack is installed  the Jobs page should be hidden.   ,1.2.4,1.4.0,0,2,13,1,2,2,0,0,0,0,0,0,0,0,
329,2203,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/05/28 23:04:49 +0100,2013/05/28 23:04:49 +0100,Yusaku Sako,2013/05/29 02:56:32 +0100,0.16091435199999998,0.16091435199999998,Background operations popup does not automatically refresh the task log   ,   ,1.2.3,1.2.4,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
330,2207,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/05/28 23:22:27 +0100,2013/05/28 23:22:27 +0100,Yusaku Sako,2013/05/29 03:01:21 +0100,0.152013889,0.152013889,Add unit tests for Utils   ,   ,1.2.5,1.2.5,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
333,2217,Bug,Resolved,Fixed,   ,Major,Sumit Mohanty,2013/05/29 15:38:54 +0100,2013/05/29 15:38:54 +0100,Sumit Mohanty,2013/05/29 17:40:58 +0100,0.084768519,0.084768519,Increase ambari-agent test coverage   ,ActionQueue.py missing 'Unrecognized command' testcase (L. 173) /src/test/python/TestActionQueue.py:42 unused test_RetryAction stub (retry is implemented in another way) /src/main/python/ambari_agent/ActionQueue.py:221 not covered case if commandresult&#91;&#39;exitcode&#39;&#93; != 0: /src/main/python/ambari_agent/ActionQueue.py:247 not covered case if command.has_key('roleCommand') and command&#91;&#39;roleCommand&#39;&#93; == 'START':PuppetExecutor.py configureEnviron/generate_repo_manifests/run_manifest/runCommand are not covered.PythonExecutor.py isSuccessfull is not testedRepoInstaller.py prepareReposInfo/generateFiles are not coveredshell.py is not covered   ,1.2.4,1.2.4,0,2,62,1,1,1,0,0,0,0,0,0,0,0,
338,2259,Bug,Resolved,Fixed,   ,Major,Oleg Nechiporenko,2013/06/03 17:09:13 +0100,2013/06/03 18:13:27 +0100,Oleg Nechiporenko,2013/06/07 19:21:00 +0100,4.0915162039999995,4.046909722,Start/Stop button may stay enabled for 30-40 seconds after it has been clicked   ,Start/Stop button stays enabled for atleast 30-40 seconds after its been clicked already.   ,1.2.4,1.2.5; 1.4.0,0,3,13,1,7,3,1,0,0,0,0,0,0,0,
339,2260,Bug,Resolved,Fixed,   ,Major,Tom Beerbower,2013/06/03 17:26:31 +0100,2013/06/03 17:26:31 +0100,Tom Beerbower,2013/06/03 18:53:42 +0100,0.060543981,0.060543981,Bad hosts query example in API docs   ,The example ...'hosts' : [ { 'href' : 'http://your.ambari.server/api/v1/clusters/c1/hosts/host1'  'Hosts' : { 'cluster_name' : 'c1'  'host_name' : 'some.cluster.host' } }  { 'href' : 'http://your.ambari.server/api/v1/clusters/c1/hosts/host2'  'Hosts' : { 'cluster_name' : 'c1'  'host_name' : 'another.cluster.host' } ]... should read ... 'hosts' : [ { 'href' : 'http://your.ambari.server/api/v1/clusters/c1/hosts/some.host'  'Hosts' : { 'cluster_name' : 'c1'  'host_name' : 'some.host' } }  { 'href' : 'http://your.ambari.server/api/v1/clusters/c1/hosts/another.host'  'Hosts' : { 'cluster_name' : 'c1'  'host_name' : 'another.host' } } ]   ,1.2.4,1.2.5,0,2,120,1,4,2,0,0,0,0,0,0,2,3,ambari-server/docs/api/v1/clusters-cluster.md;ambari-server/docs/api/v1/index.md;ambari-server/docs/api/v1/index.md;
340,2262,Bug,Resolved,Fixed,ambari-web   ,Blocker,Andrii Tkach,2013/06/03 19:24:24 +0100,2013/06/03 19:24:24 +0100,Andrii Tkach,2013/06/04 20:09:50 +0100,1.031550926,1.031550926,On 'install Options' page  when selecting 'Perform manual registration on hosts and do not use SSH' is setting 'Path to 64-bit JDK' disabled   ,On 'install Options' page  when selecting 'Perform manual registration on hosts and do not use SSH' is setting 'Path to 64-bit JDK' disabled(Screen Shot 2013-06-03 at 10.54.49 AM.png).Also path to 64-bit JDK JAVA_HOME' input field is enabled with unchecked check box(unchecked.png).Steps:1. Go to 'Install Options' page.Result:'Path to 64-bit JDK JAVA_HOME' input field is available for editing when check box is unchecked.   ,1.2.4,1.2.4,0,3,61,1,4,3,0,0,0,1,0,0,0,0,
